date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:29	1452/1452	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2017:51:49%20GMT	https://kaisermann.me/robots.txt		(from )
23:24:29	18264/18264	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202024%2017:51:49%20GMT	https://kaisermann.me/	C:/website/clone/clone24/kaisermann.me/index.html	(from )
23:24:30	124120/124120	---M--	200	added ('OK')	image/jpeg	etag:%22a5e6fd92257922e198c2862d1c70dcaf-ssl%22	https://kaisermann.me/assets/images/big-rainbow-static.jpg	C:/website/clone/clone24/kaisermann.me/assets/images/big-rainbow-static.jpg	(from https://kaisermann.me/)
23:24:31	16620/16620	---M--	200	added ('OK')	font/woff2	etag:%226f4cb932de32dcae9508afc07ce6d837-ssl%22	https://kaisermann.me/assets/fonts/VCROSDMono.woff2	C:/website/clone/clone24/kaisermann.me/assets/fonts/VCROSDMono.woff2	(from https://kaisermann.me/)
23:24:31	22844/22844	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22a3e273de526cd4368b748e26a4d4539c-ssl-df%22	https://kaisermann.me/assets/fonts/VCROSDMono.woff	C:/website/clone/clone24/kaisermann.me/assets/fonts/VCROSDMono.woff	(from https://kaisermann.me/)
23:24:32	49197/49197	---M--	200	added ('OK')	image/gif	etag:%22115989e75e5e23ffdf59cdca4d76785f-ssl%22	https://kaisermann.me/assets/images/rainbow-static.gif	C:/website/clone/clone24/kaisermann.me/assets/images/rainbow-static.gif	(from https://kaisermann.me/)
23:24:33	33794/33794	---M--	200	added ('OK')	image/webp	etag:%2264cde5f9bdad817585aa7ace4f1f2a70-ssl%22	https://kaisermann.me/assets/images/rainbow-static.webp	C:/website/clone/clone24/kaisermann.me/assets/images/rainbow-static.webp	(from https://kaisermann.me/)
23:24:33	67572/67572	---M--	200	added ('OK')	image/webp	etag:%22084ee34a43f03e22411402b5022b1d04-ssl%22	https://kaisermann.me/assets/images/effect-static.webp	C:/website/clone/clone24/kaisermann.me/assets/images/effect-static.webp	(from https://kaisermann.me/)
23:24:34	29514/29514	---M--	200	added ('OK')	image/webp	etag:%22fe797580af51b18d37f4a9f806aba43a-ssl%22	https://kaisermann.me/assets/images/effect-artifacts.webp	C:/website/clone/clone24/kaisermann.me/assets/images/effect-artifacts.webp	(from https://kaisermann.me/)
23:24:34	763/763	---M--	200	added ('OK')	image/png	etag:%22023dbc97681b0b496bf863215576d742-ssl%22	https://kaisermann.me/assets/images/cursor-default.png	C:/website/clone/clone24/kaisermann.me/assets/images/cursor-default.png	(from https://kaisermann.me/)
23:24:35	615/615	---M--	200	added ('OK')	image/png	etag:%22a0a904d238a78c1eed137cb3c914afce-ssl%22	https://kaisermann.me/assets/images/cursor-pointer.png	C:/website/clone/clone24/kaisermann.me/assets/images/cursor-pointer.png	(from https://kaisermann.me/)
23:24:35	18452/18452	---MCZ	200	added ('OK')	text/css	etag:W/%226b414cf058a710b77dfa31c47b621023-ssl-df%22	https://kaisermann.me/assets/main.entry.c940d9edf9.css	C:/website/clone/clone24/kaisermann.me/assets/main.entry.c940d9edf9.css	(from https://kaisermann.me/)
23:24:36	798/798	---M--	200	added ('OK')	image/png	etag:%2250f164d2381cd1580c080022c599a2c4-ssl%22	https://kaisermann.me/assets/images/favicon.png	C:/website/clone/clone24/kaisermann.me/assets/images/favicon.png	(from https://kaisermann.me/)
23:24:37	4544/4544	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Sep%202024%2017:51:56%20GMT	https://kaisermann.me/playlists	C:/website/clone/clone24/kaisermann.me/playlists	(from https://kaisermann.me/)
23:24:37	20511/20511	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202024%2017:51:56%20GMT	https://kaisermann.me/open-source/	C:/website/clone/clone24/kaisermann.me/open-source/index.html	(from https://kaisermann.me/)
